Ticker,24hour,12hour,8hour,4hour,1hour
MRK,5,5,5,0,0
PTON,1,1,1,0,0
WMG,1,1,1,0,0
TME,2,2,2,0,0
IHRT,1,1,1,0,0
CMCSA,1,1,1,0,0
VIV,1,1,1,0,0
LOGI,3,3,3,1,1
LYV,1,1,1,0,0
NLTX,1,1,1,0,0
GNW,1,1,1,0,0
CET,5,5,5,1,0
IMMP,2,2,2,1,1
AUMN,1,1,1,0,0
CGC,2,2,2,0,0
EOLS,1,1,1,0,0
BIOX,4,4,4,0,0
AKAM,1,1,1,0,0
ADSK,1,1,1,0,0
CHKP,1,1,1,0,0
DDOG,1,1,1,0,0
MSP,1,1,1,0,0
DHI,1,1,1,0,0
EWBC,1,1,1,0,0
FSLY,2,2,2,1,0
FTNT,1,1,1,0,0
INTU,1,1,1,0,0
KBH,1,1,1,0,0
MDC,2,2,2,0,0
MTH,1,1,1,0,0
NLOK,1,1,1,0,0
NVR,2,2,2,0,0
PANW,1,1,1,0,0
PHM,1,1,1,0,0
SWI,1,1,1,0,0
SPLK,1,1,1,0,0
SSNC,1,1,1,0,0
TMHC,1,1,1,0,0
TTGT,1,1,1,0,0
TOL,1,1,1,0,0
TRI,1,1,1,0,0
TPH,1,1,1,0,0
VMW,1,1,1,0,0
WDAY,1,1,1,0,0
VFC,1,1,1,0,0
TTM,1,1,1,0,0
AAN,1,1,1,0,0
STL,1,1,1,0,0
QS,5,5,5,2,0
SPWR,2,2,2,1,0
TDOC,1,1,1,0,0
ENZ,1,1,1,0,0
UEC,6,6,6,1,0
OLED,1,1,1,0,0
PSTG,1,1,1,0,0
AVEO,1,1,1,0,0
CCJ,3,3,3,0,0
ZYNE,1,1,1,0,0
MOMO,1,1,1,0,0
GCP,1,1,1,0,0
VYNE,1,1,1,0,0
FAT,5,5,5,4,1
WST,1,1,1,0,0
PHAS,1,1,1,0,0
EAD,3,3,3,2,0
DNMR,1,1,1,0,0
MKC,1,1,1,0,0
MIK,1,1,1,0,0
OTLK,2,2,2,0,0
LIZI,2,2,2,0,0
XP,2,2,2,0,0
OPY,1,1,1,0,0
GAN,1,1,1,0,0
NRZ,1,1,1,0,0
URG,1,1,1,0,0
SBI,4,4,4,0,0
NAV,3,3,3,2,0
RCL,1,1,1,0,0
EL,1,1,1,0,0
GTT,1,1,1,0,0
RNWK,1,1,1,0,0
NSH,4,4,4,1,1
PCAR,1,1,1,0,0
FCX,1,1,1,0,0
CDEV,1,1,1,0,0
TSLX,1,1,1,0,0
OBSV,1,1,1,0,0
NOC,1,1,1,0,0
AQMS,2,2,2,0,0
CFMS,1,1,1,1,0
HIMX,1,1,1,1,0
TEDU,1,1,1,1,0
MTX,1,1,1,1,0
TWI,1,1,1,1,0
CTO,2,2,2,2,0
PPT,1,1,1,1,0
AVGO,1,1,1,1,0
TCF,1,1,1,1,0
DENN,1,1,1,1,0
WTI,3,3,3,3,1
ATXI,1,1,1,1,0
KAI,1,1,1,1,0
BTBT,2,2,2,2,0
BIGC,2,2,2,2,0
BDC,1,1,1,1,0
CVX,1,1,1,1,0
NRG,1,1,1,1,0
TXMD,1,1,1,1,0
EAF,1,1,1,1,0
HBI,1,1,1,1,0
EHT,1,1,1,1,0
TIRX,1,1,1,1,0
FN,1,1,1,1,0
HYFM,1,1,1,1,0
THCB,1,1,1,1,0
EXPC,1,1,1,1,0
VOD,1,1,1,1,0
HEC,1,1,1,1,0
WDC,1,1,1,1,0
TMO,1,1,1,1,0
UAVS,2,2,2,2,1
COP,1,1,1,1,0
MFM,1,1,1,1,0
BHC,1,1,1,1,0
PTVE,1,1,1,1,0
UBA,1,1,1,1,0
MKD,7,7,7,7,2
PSN,1,1,1,1,0
GPM,2,2,2,2,0
AME,1,1,1,1,0
CHTR,1,1,1,1,0
ETR,1,1,1,1,0
VIVO,1,1,1,1,0
BLNK,1,1,1,1,0
SMAR,1,1,1,1,0
GMBL,1,1,1,1,0
SSPK,1,1,1,1,0
AGFY,1,1,1,1,0
TW,1,1,1,1,0
LEE,1,1,1,1,0
ESTA,1,1,1,1,0
ATHA,1,1,1,1,0
DECK,1,1,1,1,0
FNV,1,1,1,1,0
HPX,1,1,1,1,0
ADMP,1,1,1,1,0
AFRM,1,1,1,1,0
NDAQ,1,1,1,1,1
TGI,1,1,1,1,1
EOG,1,1,1,1,1
WF,1,1,1,1,1
WH,1,1,1,1,1
DMTK,1,1,1,1,1
AIO,1,1,1,1,1
CCS,1,1,1,1,1
MLP,1,1,1,1,1
KMX,1,1,1,1,1
GHVI,1,1,1,1,1
FAII,1,1,1,1,1
SVAC,1,1,1,1,1
OFC,1,1,1,1,1
MDNA,1,1,1,1,1
CLVS,1,1,1,1,1
DRI,1,1,1,1,1
ZSAN,1,1,1,1,1
AXP,1,1,1,1,1
